"","time","tweet_id","sentiment_score","location"
"1","Wed Mar 25 06:02:50 +0000 2020",1242693402971406336,-0.25,"Bihar, India"
"2","Wed Mar 25 06:03:31 +0000 2020",1242693578817597440,0,"Mumbai, India"
"3","Wed Mar 25 06:03:39 +0000 2020",1242693609725575168,0.00833333333333333,"Ghaziabad, India"
"4","Wed Mar 25 06:03:56 +0000 2020",1242693680143544320,-0.1,"Narayanpet, India"
"5","Wed Mar 25 06:04:11 +0000 2020",1242693745755262976,0,"Bhopal, India"
"6","Wed Mar 25 06:04:57 +0000 2020",1242693938533691392,0.416666666666667,"Mumbai, India"
"7","Wed Mar 25 06:04:57 +0000 2020",1242693939578023936,0.25,"New Delhi, India"
"8","Wed Mar 25 06:05:05 +0000 2020",1242693972775956480,0.5,"Bengaluru, India"
"9","Wed Mar 25 06:05:46 +0000 2020",1242694142242652160,0.0333333333333333,"Maharashtra, India"
"10","Wed Mar 25 06:05:56 +0000 2020",1242694186089893888,0,"Madhya Pradesh, India"
"11","Wed Mar 25 06:09:45 +0000 2020",1242695145750843392,0.8,"Anantapur, India"
"12","Wed Mar 25 06:10:35 +0000 2020",1242695356560752640,0.221428571428571,"Taranagar, India"
"13","Wed Mar 25 06:10:42 +0000 2020",1242695384163442688,0.55,"Lucknow, India"
"14","Wed Mar 25 06:10:58 +0000 2020",1242695451666599936,-0.025,"Dadra and Nagar Haveli"
"15","Wed Mar 25 06:11:16 +0000 2020",1242695527981957120,-0.05,"Bengaluru, India"
"16","Wed Mar 25 06:11:20 +0000 2020",1242695543765123072,-0.2,"Ghaziabad, India"
"17","Wed Mar 25 06:11:33 +0000 2020",1242695600199462912,0.25,"Goa, India"
"18","Wed Mar 25 06:11:36 +0000 2020",1242695611247280128,0,"Rajendra Nagar, India"
"19","Wed Mar 25 06:11:42 +0000 2020",1.242695635373e+18,0.1,"Dibrugarh, India"
"20","Wed Mar 25 06:11:55 +0000 2020",1242695689483759616,0,"Kanpur, India"
"21","Wed Mar 25 06:12:34 +0000 2020",1242695852923076608,0.15,"Mumbai, India"
"22","Wed Mar 25 06:12:34 +0000 2020",1242695854307172352,0.468181818181818,"India"
"23","Wed Mar 25 06:12:34 +0000 2020",1242695855326392320,0.333333333333333,"New Delhi, India"
"24","Wed Mar 25 06:12:35 +0000 2020",1242695857171910656,0.625,"Uttar Pradesh, India"
"25","Wed Mar 25 06:12:38 +0000 2020",1242695871260758016,0.333333333333333,"Mumbai, India"
"26","Wed Mar 25 06:12:43 +0000 2020",1242695890621444096,-0.1,"Dhanbad, India"
"27","Wed Mar 25 06:12:47 +0000 2020",1242695910724780032,0.25,"Punjab, India"
"28","Wed Mar 25 06:13:29 +0000 2020",1242696085396541440,0,"Greater Noida, India"
"29","Wed Mar 25 06:13:35 +0000 2020",1242696110159822848,0.35,"New Delhi, India"
"30","Wed Mar 25 06:14:10 +0000 2020",1242696256398462976,0.6,"New Delhi, India"
"31","Wed Mar 25 06:14:19 +0000 2020",1242696293484392448,0.381385281385281,"New Delhi, India"
"32","Wed Mar 25 06:14:37 +0000 2020",1242696369107681280,0,"Chandigarh, India"
"33","Wed Mar 25 06:14:43 +0000 2020",1242696395888431104,0,"Surat, India"
"34","Wed Mar 25 06:15:30 +0000 2020",1242696591779061760,0.65,"Sector 33, Noida"
"35","Wed Mar 25 06:15:49 +0000 2020",1242696672745947136,0.080952380952381,"Mumbai, India"
"36","Wed Mar 25 06:17:07 +0000 2020",1242696999981334528,0,"Sevagram, India"
"37","Wed Mar 25 06:17:13 +0000 2020",1242697026451759104,-0.125,"Vododara, India"
"38","Wed Mar 25 06:17:29 +0000 2020",1242697090469212160,0,"Jaipur, India"
"39","Wed Mar 25 06:17:32 +0000 2020",1242697103954120704,0,"New Delhi, India"
"40","Wed Mar 25 06:18:23 +0000 2020",1242697317867716608,0.224242424242424,"Gujarat, India"
"41","Wed Mar 25 06:18:28 +0000 2020",1242697339728302080,0.5,"Palladam, India"
"42","Wed Mar 25 06:18:32 +0000 2020",1242697356249882624,0,"Bidhan Nagar, India"
"43","Wed Mar 25 06:19:04 +0000 2020",1242697489272254464,1,"Devaprayag, India"
"44","Wed Mar 25 06:19:08 +0000 2020",1242697505814413312,0.401785714285714,"Mumbai, India"
"45","Wed Mar 25 06:19:44 +0000 2020",1242697658013085696,-0.0318181818181818,"Mumbai, India"
"46","Wed Mar 25 06:20:02 +0000 2020",1242697733175226368,0.125,"Pune, India"
"47","Wed Mar 25 06:20:09 +0000 2020",1242697762103152640,0.1,"Gurgaon, India"
"48","Wed Mar 25 06:21:41 +0000 2020",1242698149988368384,0,"Bardes, India"
"49","Wed Mar 25 06:21:45 +0000 2020",1242698164328595456,-0.1,"Mumbai, India"
"50","Wed Mar 25 06:22:26 +0000 2020",1.242698338195e+18,0,"Mumbai, India"
"51","Wed Mar 25 06:23:04 +0000 2020",1242698496852914176,0.9765625,"Mumbai, India"
"52","Wed Mar 25 06:23:14 +0000 2020",1242698536891760640,0.6,"Nilanga, India"
"53","Wed Mar 25 06:23:35 +0000 2020",1242698628269068288,-0.155555555555556,"Navi Mumbai, India"
"54","Wed Mar 25 06:23:36 +0000 2020",1242698630009458688,-0.14375,"Thane, India"
"55","Wed Mar 25 06:24:31 +0000 2020",1242698860117426176,0,"Bhiwandi, India"
