"","time","tweet_id","sentiment_score","location","latitude","longitude","place_rank"
"1","Fri May 01 04:38:17 +0000 2020",1256080477993271296,0.3,"Gaya, India",24.7964355,85.0079563,"16"
"2","Fri May 01 04:38:19 +0000 2020",1256080484636872704,0,"Himachal Pradesh, India",31.81676015,77.3493205196886,"8"
"3","Fri May 01 04:38:22 +0000 2020",1256080500466352128,0,"Puri, India",19.8076083,85.8252538,"16"
"4","Fri May 01 04:38:39 +0000 2020",1256080570645229568,0.32,"Tamil Nadu, India",10.9094334,78.3665347,"8"
"5","Fri May 01 04:39:11 +0000 2020",1256080704284188672,0,"New Delhi, India",28.6138954,77.2090057,"10"
"6","Fri May 01 04:39:36 +0000 2020",1256080809821265920,0.5,"Vadodara | Baroda | ??????",22.2973142,73.1942567,"16"
"7","Fri May 01 04:39:39 +0000 2020",1256080822932836352,0.1,"Himachal Pradesh, India",31.81676015,77.3493205196886,"8"
"8","Fri May 01 04:39:49 +0000 2020",1256080863369981952,-0.05,"Bengaluru South, India",12.9791198,77.5912997,"16"
"9","Fri May 01 04:40:03 +0000 2020",1256080921909846016,0,"Bengaluru South, India",12.9791198,77.5912997,"16"
"10","Fri May 01 04:40:12 +0000 2020",1256080960900100096,0.0277777777777778,"Jalandhar, India",31.29201065,75.5680577225391,"10"
"11","Fri May 01 04:40:14 +0000 2020",1256080970161127424,-0.0131313131313131,"Sagarpur, New Delhi",28.6091456,77.0995916,"30"
"12","Fri May 01 04:40:42 +0000 2020",1256081086586601472,-0.5,"Mumbai, India",19.0759899,72.8773928,"16"
"13","Fri May 01 04:40:53 +0000 2020",1256081131285381120,0.125,"Gujarat, India",22.3850008,71.7452633,"8"
"14","Fri May 01 04:41:08 +0000 2020",1256081197127528448,-0.25,"Bengaluru South, India",12.9791198,77.5912997,"16"
"15","Fri May 01 04:41:16 +0000 2020",1256081229071503360,0.7,"Mumbai, India",19.0759899,72.8773928,"16"
"16","Fri May 01 04:41:32 +0000 2020",1256081297849503744,0.0757575757575758,"Ludhiana, India",30.9090157,75.851601,"16"
"17","Fri May 01 04:42:13 +0000 2020",1256081467882434560,0.113636363636364,"Cuttack, India",20.4686,85.8792,"16"
"18","Fri May 01 04:42:25 +0000 2020",1256081518419730432,0.168181818181818,"AIIMS",28.5668602,77.2078058,"30"
"19","Fri May 01 04:42:45 +0000 2020",1256081601148203008,0,"DOME",7.0961616,2.3090413,"18"
"20","Fri May 01 04:42:49 +0000 2020",1256081620873949184,0,"Mumbai, India",19.0759899,72.8773928,"16"
"21","Fri May 01 04:43:11 +0000 2020",1256081709923090432,0.2,"Bengaluru South, India",12.9791198,77.5912997,"16"
"22","Fri May 01 04:43:12 +0000 2020",1256081716667731968,0,"Jaipur, India",26.9154576,75.8189817,"16"
"23","Fri May 01 04:43:32 +0000 2020",1256081798477615104,0.246590909090909,"Andhra Pradesh, India",15.9240905,80.1863809,"8"
"24","Fri May 01 04:43:46 +0000 2020",1256081857168408576,-0.104761904761905,"Egmore Nungambakkam, India",13.07230965,80.2513380999225,"30"
"25","Fri May 01 04:44:03 +0000 2020",1256081930228912128,-0.316666666666667,"Ludhiana, India",30.9090157,75.851601,"16"
"26","Fri May 01 04:44:09 +0000 2020",1256081955168321536,0.125,"Mumbai, India",19.0759899,72.8773928,"16"
"27","Fri May 01 04:44:11 +0000 2020",1256081961296117760,0,"Gurgaon, India",28.42826235,77.0027001465775,"12"
"28","Fri May 01 04:44:31 +0000 2020",1256082047015124992,0,"Greater Noida, India",28.4670734,77.5137649,"16"
"29","Fri May 01 04:45:22 +0000 2020",1256082262606655488,-0.1125,"Goa, India",15.3004543,74.0855134,"8"
"30","Fri May 01 04:45:26 +0000 2020",1256082277064413184,-0.25,"Madhya Pradesh, India",23.8143419,77.5340719,"8"
"31","Fri May 01 04:45:38 +0000 2020",1256082328998170624,0.0240384615384615,"Kolkata, India",22.5414185,88.3576912438887,"12"
"32","Fri May 01 04:46:13 +0000 2020",1256082476369186816,0.227272727272727,"Ajmer, India",26.4691,74.639,"16"
"33","Fri May 01 04:46:16 +0000 2020",1256082485886087168,0.015,"Bengaluru South, India",12.9791198,77.5912997,"16"
"34","Fri May 01 04:47:37 +0000 2020",1256082828581916672,0,"Upleta, India",21.7466811,70.2821426,"30"
"35","Fri May 01 04:47:43 +0000 2020",1256082852757639168,0.4125,"Haveli, India",18.51051985,74.0609353177903,"12"
"36","Fri May 01 04:48:04 +0000 2020",1256082941634940928,0.871930803571428,"Pune, India",18.521428,73.8544541,"12"
"37","Fri May 01 04:48:25 +0000 2020",1256083027462991872,0,"New Delhi, India",28.6138954,77.2090057,"10"
"38","Fri May 01 04:48:36 +0000 2020",1256083074456010752,0.25,"Bijnor, India",29.40604895,78.4808783991788,"10"
"39","Fri May 01 04:49:34 +0000 2020",1256083318229131264,0,"Allahabad Outer, India",28.5480885,77.2510976,"30"
