"","time","tweet_id","sentiment_score","location","latitude","longitude","place_rank"
"14412","Tue Mar 31 06:16:49 +0000 2020",1244871251111239680,0,"Mumbai, India",19.0759899,72.8773928,"16"
"14413","Tue Mar 31 06:17:28 +0000 2020",1244871415364341760,0.121212121212121,"Hyderabad, India",17.38878595,78.4610647345315,"10"
"14414","Tue Mar 31 06:17:41 +0000 2020",1244871469483454464,0,"Wardha, India",20.82562315,78.6131454952292,"10"
"14415","Tue Mar 31 06:17:53 +0000 2020",1244871519144038400,0.105555555555556,"Amritsar, India",31.6343083,74.8736788,"16"
"14416","Tue Mar 31 06:17:54 +0000 2020",1244871521627066368,0.2,"Haveli, India",18.51051985,74.0609353177903,"12"
"14417","Tue Mar 31 06:17:58 +0000 2020",1244871542242021376,0.09375,"Ghaziabad, India",28.711241,77.4445372,"10"
"14418","Tue Mar 31 06:18:13 +0000 2020",1244871602514186240,-0.25,"Pakaur, India",24.64788505,87.8429030856745,"12"
"14419","Tue Mar 31 06:18:20 +0000 2020",1244871630955798528,0.2,"Noida, India",28.5707841,77.3271074,"16"
"14421","Tue Mar 31 06:18:43 +0000 2020",1244871727873585152,-0.1,"Mumbai, India",19.0759899,72.8773928,"16"
"14422","Tue Mar 31 06:19:00 +0000 2020",1244871799353094144,0,"Ghaziabad, India",28.711241,77.4445372,"10"
"14423","Tue Mar 31 06:19:05 +0000 2020",1244871819875594240,0.163961038961039,"Bettiah, India",26.79107275,84.5601067877279,"12"
"14424","Tue Mar 31 06:19:26 +0000 2020",1244871911559094272,0,"Agartala, India",23.8312377,91.2823821,"16"
"14425","Tue Mar 31 06:19:28 +0000 2020",1244871916495572992,0.025,"Lucknow, India",26.8381,80.9346001,"16"
"14426","Tue Mar 31 06:21:06 +0000 2020",1244872329353519104,0,"Bengaluru South, India",12.9791198,77.5912997,"16"
"14427","Tue Mar 31 06:21:31 +0000 2020",1244872434475466752,0.191666666666667,"Rajkot, India",22.3051991,70.8028335,"16"
"14428","Tue Mar 31 06:21:49 +0000 2020",1244872507695534080,0,"Gurgaon, India",28.42826235,77.0027001465775,"12"
"14429","Tue Mar 31 06:21:56 +0000 2020",1244872538536075264,0,"Nadiad, India",22.6895073,72.8715199,"16"
"14430","Tue Mar 31 06:22:25 +0000 2020",1244872659890057216,-0.15,"Noida, India",28.5707841,77.3271074,"16"
"14431","Tue Mar 31 06:22:30 +0000 2020",1244872679330418688,0.16,"Amritsar, India",31.6343083,74.8736788,"16"
"14432","Tue Mar 31 06:23:08 +0000 2020",1244872840584630272,0.166666666666667,"Amritsar, India",31.6343083,74.8736788,"16"
"14433","Tue Mar 31 06:23:28 +0000 2020",1244872924126945280,-0.4,"Kolkata, India",22.5414185,88.3576912438887,"12"
"14434","Tue Mar 31 06:23:40 +0000 2020",1244872974689173504,0,"Kolkata, India",22.5414185,88.3576912438887,"12"
"14435","Tue Mar 31 06:23:59 +0000 2020",1244873054875815936,0.25,"Madurai South, India",9.8696551,78.0865123694439,"12"
"14436","Tue Mar 31 06:24:01 +0000 2020",1244873063700680704,0.5,"Amritsar, India",31.6343083,74.8736788,"16"
"14437","Tue Mar 31 06:24:18 +0000 2020",1244873135914131456,0.8,"Ludhiana, India",30.9090157,75.851601,"16"
"14438","Tue Mar 31 06:24:55 +0000 2020",1244873289505206272,0.125,"Gaya, India",24.7964355,85.0079563,"16"
"14439","Tue Mar 31 06:25:21 +0000 2020",1244873399224209408,0.227272727272727,"Rajendra Nagar, India",25.6030053,85.1623397,"30"
"14440","Tue Mar 31 06:25:30 +0000 2020",1244873437685792768,-0.2,"Nashik, India",20.0112475,73.7902364,"16"
"14441","Tue Mar 31 06:25:45 +0000 2020",1244873497924341760,0.2,"Hyderabad, India",17.38878595,78.4610647345315,"10"
