"","time","tweet_id","sentiment_score","location","latitude","longitude","place_rank"
"1","Mon May 18 04:23:54 +0000 2020",1262237450996289536,0,"Mumbai, India",19.0759899,72.8773928,"16"
"2","Mon May 18 04:24:00 +0000 2020",1262237475684012032,0.116666666666667,"Mumbai, India",19.0759899,72.8773928,"16"
"3","Mon May 18 04:24:04 +0000 2020",1262237494311104512,0.5,"Gujarat, India",22.3850008,71.7452633,"8"
"4","Mon May 18 04:24:11 +0000 2020",1262237524023480320,-0.0345238095238095,"Kalyan Dombivali, India",19.2334875,73.1182464,"16"
"5","Mon May 18 04:24:22 +0000 2020",1262237570664144896,0.137777777777778,"Madhya Pradesh, India",23.8143419,77.5340719,"8"
"6","Mon May 18 04:25:39 +0000 2020",1262237890987192320,0.411616161616162,"New Delhi, India",28.6138954,77.2090057,"10"
"7","Mon May 18 04:26:08 +0000 2020",1262238014341656576,-0.75,"Haveli, India",18.51051985,74.0609353177903,"12"
"8","Mon May 18 04:26:46 +0000 2020",1262238171674402816,0.25,"Madhya Pradesh, India",23.8143419,77.5340719,"8"
"9","Mon May 18 04:26:48 +0000 2020",1262238183816785920,-0.0333333333333333,"Ujjain, India",23.174597,75.7851423,"16"
"10","Mon May 18 04:26:53 +0000 2020",1262238204180049920,0,"New Delhi, India",28.6138954,77.2090057,"10"
"11","Mon May 18 04:27:28 +0000 2020",1262238350443819008,0.283333333333333,"Noida, India",28.5707841,77.3271074,"16"
"12","Mon May 18 04:27:43 +0000 2020",1262238412066545664,0.2,"Noida, India",28.5707841,77.3271074,"16"
"13","Mon May 18 04:27:51 +0000 2020",1262238446396948480,0,"New Delhi, India",28.6138954,77.2090057,"10"
"14","Mon May 18 04:28:46 +0000 2020",1262238676576358400,0.403333333333333,"Greater Noida, India",28.4670734,77.5137649,"16"
"15","Mon May 18 04:28:54 +0000 2020",1262238711443570688,0,"Bhubaneshwar, India",20.2602964,85.8394521,"16"
"16","Mon May 18 04:29:06 +0000 2020",1262238762400014336,0.5,"Noida, India",28.5707841,77.3271074,"16"
"17","Mon May 18 04:30:41 +0000 2020",1262239158690615296,0,"Ghaziabad, India",28.711241,77.4445372,"10"
"18","Mon May 18 04:30:41 +0000 2020",1262239159466377216,0.131818181818182,"Noida, India",28.5707841,77.3271074,"16"
"19","Mon May 18 04:31:06 +0000 2020",1262239262348472320,0.04,"Madhya Pradesh, India",23.8143419,77.5340719,"8"
"20","Mon May 18 04:31:26 +0000 2020",1262239347174227968,-0.155555555555556,"Haveli, India",18.51051985,74.0609353177903,"12"
"21","Mon May 18 04:31:40 +0000 2020",1262239405655326720,0.0652777777777778,"Mumbai, India",19.0759899,72.8773928,"16"
"22","Mon May 18 04:31:59 +0000 2020",1262239487997902848,-0.2875,"Phagwara, India",31.2206734,75.7696463,"18"
"23","Mon May 18 04:32:11 +0000 2020",1262239535187980288,-0.1,"Mumbai, India",19.0759899,72.8773928,"16"
"24","Mon May 18 04:32:52 +0000 2020",1262239708467195904,-0.0714285714285714,"Mumbai, India",19.0759899,72.8773928,"16"
"25","Mon May 18 04:33:04 +0000 2020",1262239760812109824,0.0787878787878788,"Panvel, India",18.96558885,73.1028813058249,"12"
"26","Mon May 18 04:33:17 +0000 2020",1262239814297976832,-0.0657407407407407,"New Delhi, India",28.6138954,77.2090057,"10"
"28","Mon May 18 04:33:33 +0000 2020",1262239879532089344,-0.0657407407407407,"New Delhi, India",28.6138954,77.2090057,"10"
"29","Mon May 18 04:33:56 +0000 2020",1262239975128666112,-0.0657407407407407,"New Delhi, India",28.6138954,77.2090057,"10"
"30","Mon May 18 04:34:14 +0000 2020",1262240052446285824,0.504166666666667,"Ranchi, India",23.3700354,85.3250132,"16"
"31","Mon May 18 04:34:25 +0000 2020",1262240100173266944,0,"New Delhi, India",28.6138954,77.2090057,"10"
"32","Mon May 18 04:34:31 +0000 2020",1262240123909005312,-0.0657407407407407,"New Delhi, India",28.6138954,77.2090057,"10"
"33","Mon May 18 04:34:37 +0000 2020",1262240151180173312,0.151666666666667,"Mumbai, India",19.0759899,72.8773928,"16"
"34","Mon May 18 04:34:41 +0000 2020",1262240166678167552,0.145454545454545,"Hyderabad, India",17.38878595,78.4610647345315,"10"
"35","Mon May 18 04:34:48 +0000 2020",1262240196336259072,-0.0657407407407407,"New Delhi, India",28.6138954,77.2090057,"10"
"36","Mon May 18 04:34:54 +0000 2020",1262240221783035904,-0.0125,"Kalyan Dombivali, India",19.2334875,73.1182464,"16"
"37","Mon May 18 04:35:04 +0000 2020",1262240264111833088,0.18,"Bengaluru South, India",12.9791198,77.5912997,"16"
"38","Mon May 18 04:35:18 +0000 2020",1262240319996862464,-0.0657407407407407,"New Delhi, India",28.6138954,77.2090057,"10"
"39","Mon May 18 04:35:53 +0000 2020",1262240467976024064,0.233333333333333,"New Delhi, India",28.6138954,77.2090057,"10"
"40","Mon May 18 04:36:42 +0000 2020",1.262240671903e+18,0,"Bhopal, India",23.2584857,77.401989,"16"
"41","Mon May 18 04:36:44 +0000 2020",1262240681663197184,0.1875,"New Delhi, India",28.6138954,77.2090057,"10"
"42","Mon May 18 04:36:46 +0000 2020",1262240691419316224,0,"Gondia, India",21.455228,80.1962729,"16"
"43","Mon May 18 04:36:48 +0000 2020",1262240699350540288,0.35,"Jaipur, India",26.9154576,75.8189817,"16"
"44","Mon May 18 04:37:24 +0000 2020",1262240848470777856,-0.118181818181818,"Kalyan Dombivali, India",19.2334875,73.1182464,"16"
"46","Mon May 18 04:37:47 +0000 2020",1262240944226742272,0.2,"Ambala, India",30.3843674,76.770421,"16"
"47","Mon May 18 04:37:52 +0000 2020",1262240965445644288,-0.233333333333333,"Ghaziabad, India",28.711241,77.4445372,"10"
"48","Mon May 18 04:39:20 +0000 2020",1262241336197070848,0.144444444444444,"Himachal Pradesh, India",31.81676015,77.3493205196886,"8"
"49","Mon May 18 04:39:34 +0000 2020",1262241393566724096,0,"New Delhi, India",28.6138954,77.2090057,"10"
"50","Mon May 18 04:40:03 +0000 2020",1262241514673012736,0.113636363636364,"Kalyan Dombivali, India",19.2334875,73.1182464,"16"
"51","Mon May 18 04:40:38 +0000 2020",1.26224166157e+18,0,"Vijayawada, India",16.5087586,80.6185102,"16"
"52","Mon May 18 04:41:22 +0000 2020",1262241848271056896,-0.1875,"New Delhi, India",28.6138954,77.2090057,"10"
"53","Mon May 18 04:42:48 +0000 2020",1262242210482810880,0,"Ukwa, India",21.9707879,80.4665708,"19"
"54","Mon May 18 04:43:08 +0000 2020",1262242293223952384,-0.0657407407407407,"New Delhi, India",28.6138954,77.2090057,"10"
"55","Mon May 18 04:43:27 +0000 2020",1262242373087739904,0.284090909090909,"Gurgaon, India",28.42826235,77.0027001465775,"12"
"56","Mon May 18 04:43:41 +0000 2020",1262242430083989504,-0.05,"New Delhi, India",28.6138954,77.2090057,"10"
"57","Mon May 18 04:43:53 +0000 2020",1262242481116024832,0.08,"Ukwa, India",21.9707879,80.4665708,"19"
"58","Mon May 18 04:44:09 +0000 2020",1262242549550346240,0.08,"Ukwa, India",21.9707879,80.4665708,"19"
"59","Mon May 18 04:44:31 +0000 2020",1262242638666891264,-0.075,"Kalyan Dombivali, India",19.2334875,73.1182464,"16"
"60","Mon May 18 04:45:17 +0000 2020",1262242835492933632,0.0833333333333333,"Mumbai, India",19.0759899,72.8773928,"16"
"61","Mon May 18 04:45:36 +0000 2020",1262242914467487744,0.5,"Mumbai, India",19.0759899,72.8773928,"16"
"62","Mon May 18 04:46:04 +0000 2020",1262243028883865600,0.0327272727272727,"Rajasthan",26.8105777,73.7684549,"8"
"63","Mon May 18 04:46:23 +0000 2020",1262243111368974336,0.25,"Indore, India",22.7203616,75.8681996,"16"
"64","Mon May 18 04:46:42 +0000 2020",1262243190108635136,0.04,"Madhya Pradesh, India",23.8143419,77.5340719,"8"
"65","Mon May 18 04:47:00 +0000 2020",1262243264431710208,0.0555555555555556,"India",22.3511148,78.6677428,"4"
"66","Mon May 18 04:47:16 +0000 2020",1262243333948280832,0,"Mumbai, India",19.0759899,72.8773928,"16"
"67","Mon May 18 04:47:31 +0000 2020",1262243393461268480,0.4,"Malad,mumbai",19.1867193,72.8485884,"30"
"68","Mon May 18 04:47:39 +0000 2020",1262243430383579136,0.278571428571429,"Egmore Nungambakkam, India",13.07230965,80.2513380999225,"30"
"69","Mon May 18 04:47:59 +0000 2020",1262243510973075456,-0.05,"New Delhi, India",28.6138954,77.2090057,"10"
"70","Mon May 18 04:48:18 +0000 2020",1262243590769717248,0,"Rajkot, India",22.3051991,70.8028335,"16"
"71","Mon May 18 04:48:25 +0000 2020",1262243623434891264,0.133333333333333,"Rohtak, India",28.9010899,76.5801935,"16"
"72","Mon May 18 04:48:57 +0000 2020",1262243756075438080,-0.05,"sahar village",25.2587274,84.5769095861064,"12"
"73","Mon May 18 04:49:00 +0000 2020",1262243769451188224,-0.0723484848484849,"Rajasthan",26.8105777,73.7684549,"8"
"74","Mon May 18 04:49:06 +0000 2020",1262243794285662208,0.403333333333333,"Greater Noida, India",28.4670734,77.5137649,"16"
