"","time","tweet_id","sentiment_score","location","latitude","longitude","place_rank"
"1","Tue Apr 14 05:24:23 +0000 2020",1249931484871286784,0.6,"Rajasthan, India",26.8105777,73.7684549,"8"
"2","Tue Apr 14 05:25:04 +0000 2020",1249931656019865600,0.215909090909091,"Noida, India",28.5707841,77.3271074,"16"
"3","Tue Apr 14 05:25:44 +0000 2020",1249931824643493888,0.0166666666666667,"Ghaziabad, India",28.711241,77.4445372,"10"
"4","Tue Apr 14 05:25:50 +0000 2020",1249931852837556224,-0.4,"Faizabad, India",26.63807555,82.0590243437862,"10"
"5","Tue Apr 14 05:26:18 +0000 2020",1249931966654205952,-0.188194444444444,"New Delhi, India",28.6138954,77.2090057,"10"
"6","Tue Apr 14 05:26:24 +0000 2020",1249931992835272704,-0.36031746031746,"Navi Mumbai, India",19.0308262,73.0198537,"16"
"7","Tue Apr 14 05:26:31 +0000 2020",1249932022115471360,0.0166666666666667,"Ghaziabad, India",28.711241,77.4445372,"10"
"8","Tue Apr 14 05:26:33 +0000 2020",1249932031221325824,-0.4,"Bhiwandi, India",19.3625308,73.078474678422,"12"
"9","Tue Apr 14 05:26:42 +0000 2020",1249932070563876864,-0.4,"Navi Mumbai, India",19.0308262,73.0198537,"16"
"10","Tue Apr 14 05:26:54 +0000 2020",1249932117363974144,0.5,"Panchkula, India",30.61621645,77.0419780432187,"12"
"11","Tue Apr 14 05:27:14 +0000 2020",1249932202944716800,0,"Hyderabad, India",17.38878595,78.4610647345315,"10"
"12","Tue Apr 14 05:27:15 +0000 2020",1249932205649846272,0,"Bihar, India",25.6440845,85.906508,"8"
"13","Tue Apr 14 05:27:19 +0000 2020",1249932223194763264,-0.4,"New Delhi, India",28.6138954,77.2090057,"10"
"14","Tue Apr 14 05:27:26 +0000 2020",1249932252345028608,0.0666666666666667,"Patna, India",25.6093239,85.1235252,"16"
"15","Tue Apr 14 05:27:28 +0000 2020",1249932259819286528,0,"Alwar, India",27.63907705,76.6144524902045,"10"
"16","Tue Apr 14 05:27:30 +0000 2020",1249932269201969152,-0.4,"Yeola, India",20.0429079,74.4880389,"18"
"17","Tue Apr 14 05:27:36 +0000 2020",1249932296427192320,-0.4,"Uttar Pradesh, India",27.1303344,80.859666,"8"
"18","Tue Apr 14 05:27:37 +0000 2020",1249932300109803520,-0.00639730639730641,"New Delhi, India",28.6138954,77.2090057,"10"
"19","Tue Apr 14 05:27:51 +0000 2020",1249932356623843328,-0.00639730639730641,"New Delhi, India",28.6138954,77.2090057,"10"
"20","Tue Apr 14 05:27:51 +0000 2020",1249932359564021760,0,"Bengaluru South, India",12.9791198,77.5912997,"16"
"21","Tue Apr 14 05:27:55 +0000 2020",1249932375930187776,-0.4,"Nagpur, India",21.1498134,79.0820556,"12"
"22","Tue Apr 14 05:28:00 +0000 2020",1249932394628411392,0.35,"Patna, India",25.6093239,85.1235252,"16"
"23","Tue Apr 14 05:28:02 +0000 2020",1249932405546176512,-0.00639730639730641,"New Delhi, India",28.6138954,77.2090057,"10"
"24","Tue Apr 14 05:28:13 +0000 2020",1.24993245001e+18,0.0666666666666667,"Patna, India",25.6093239,85.1235252,"16"
"25","Tue Apr 14 05:28:18 +0000 2020",1249932472302755840,0.35,"Patna, India",25.6093239,85.1235252,"16"
"26","Tue Apr 14 05:28:23 +0000 2020",1249932491122565120,-0.00639730639730641,"New Delhi, India",28.6138954,77.2090057,"10"
"27","Tue Apr 14 05:28:33 +0000 2020",1249932535926124544,0,"Ahmadabad City, India",23.0216238,72.5797068,"16"
"28","Tue Apr 14 05:28:36 +0000 2020",1249932549016576000,0.35,"Patna, India",25.6093239,85.1235252,"16"
"29","Tue Apr 14 05:28:42 +0000 2020",1249932571019849728,0.0666666666666667,"Kolkata, India",22.5414185,88.3576912438887,"12"
"30","Tue Apr 14 05:28:47 +0000 2020",1249932592280776704,0.2,"Bhubaneshwar, India",20.2602964,85.8394521,"16"
"31","Tue Apr 14 05:28:52 +0000 2020",1249932615194308608,0,"Nadiad, India",22.6895073,72.8715199,"16"
"32","Tue Apr 14 05:28:56 +0000 2020",1249932632353206272,-0.00639730639730641,"New Delhi, India",28.6138954,77.2090057,"10"
"33","Tue Apr 14 05:29:00 +0000 2020",1249932649184907264,0.028125,"Indore, India",22.7203616,75.8681996,"16"
"34","Tue Apr 14 05:29:03 +0000 2020",1249932659481915392,-0.0833333333333333,"Jamshedpur, India",22.8015194,86.2029579,"16"
"35","Tue Apr 14 05:29:03 +0000 2020",1249932661763670016,0.0666666666666667,"Patna, India",25.6093239,85.1235252,"16"
"36","Tue Apr 14 05:29:09 +0000 2020",1249932684169625600,0,"Ranikhet, India",29.6323007,79.4154141676432,"12"
"37","Tue Apr 14 05:29:15 +0000 2020",1249932710107176960,0.35,"Patna, India",25.6093239,85.1235252,"16"
"38","Tue Apr 14 05:29:21 +0000 2020",1249932737550508032,0.0666666666666667,"Patna, India",25.6093239,85.1235252,"16"
"39","Tue Apr 14 05:29:37 +0000 2020",1249932801060646912,0.35,"Patna, India",25.6093239,85.1235252,"16"
"40","Tue Apr 14 05:29:58 +0000 2020",1249932889195548672,-0.00639730639730641,"New Delhi, India",28.6138954,77.2090057,"10"
"41","Tue Apr 14 05:30:13 +0000 2020",1249932955809509376,0,"New Delhi, India",28.6138954,77.2090057,"10"
"42","Tue Apr 14 05:30:14 +0000 2020",1.24993295677e+18,-0.00639730639730641,"New Delhi, India",28.6138954,77.2090057,"10"
