"","time","tweet_id","sentiment_score","location"
"68","Fri May 01 04:57:46 +0000 2020",1256085380920676352,0.65,"Mumbai, India"
"69","Fri May 01 04:57:58 +0000 2020",1256085430044200960,0,"Lucknow, India"
"70","Fri May 01 04:58:28 +0000 2020",1256085558280859648,-0.291666666666667,"Panvel, India"
"71","Fri May 01 04:58:30 +0000 2020",1256085566732541952,0.0314814814814815,"Mumbai, India"
"72","Fri May 01 04:59:01 +0000 2020",1256085696927821824,-0.125,"Indore, India"
"73","Fri May 01 04:59:02 +0000 2020",1256085700002234368,0,"Bengaluru South, India"
"74","Fri May 01 04:59:03 +0000 2020",1256085702850359296,0,"Jaipur, India"
"75","Fri May 01 05:00:01 +0000 2020",1256085949446053888,0.4,"Sitapur, India"
"76","Fri May 01 05:00:15 +0000 2020",1256086004265480192,0.33,"Mathura, India"
"77","Fri May 01 05:00:21 +0000 2020",1256086032841240576,0.233333333333333,"Gurgaon, India"
"78","Fri May 01 05:00:26 +0000 2020",1256086051636068352,0.3,"Gurgaon, India"
"79","Fri May 01 05:00:40 +0000 2020",1256086112906498048,0.2,"New Delhi, India"
"80","Fri May 01 05:00:42 +0000 2020",1256086118837047296,0.136363636363636,"Tamil Nadu, India"
"81","Fri May 01 05:01:04 +0000 2020",1256086210373545984,0.4,"Peddapuram, India"
"82","Fri May 01 05:01:27 +0000 2020",1256086306926415872,0.5,"Muzaffarnagar, India"
"83","Fri May 01 05:01:37 +0000 2020",1256086351872548864,0,"Mumbai, India"
"84","Fri May 01 05:01:55 +0000 2020",1256086426946383872,0.391428571428571,"New Delhi, India"
"85","Fri May 01 05:02:02 +0000 2020",1256086455899820032,-0.5,"New Delhi, India"
"86","Fri May 01 05:03:03 +0000 2020",1256086710955335680,0.433333333333333,"New Delhi, India"
"87","Fri May 01 05:03:30 +0000 2020",1256086822645448704,0.35,"Bengaluru South, India"
"88","Fri May 01 05:03:41 +0000 2020",1256086871299354624,0,"New Delhi, India"
"89","Fri May 01 05:03:42 +0000 2020",1256086876382879744,-0.266666666666667,"Gurgaon, India"
"90","Fri May 01 05:04:02 +0000 2020",1256086959182602240,0.227272727272727,"New Delhi, India"
"91","Fri May 01 05:04:18 +0000 2020",1256087023682641920,0.7,"Trivandrum, India"
"92","Fri May 01 05:04:29 +0000 2020",1256087070147149824,0.136363636363636,"Mylapore Tiruvallike, India"
"93","Fri May 01 05:04:46 +0000 2020",1256087141819445248,0,"Sholinganallur, India"
"94","Fri May 01 05:04:47 +0000 2020",1256087146374369280,0.170833333333333,"Noida, India"
"95","Fri May 01 05:05:05 +0000 2020",1256087223432368128,0.356534090909091,"Trivandrum, India"
"96","Fri May 01 05:05:06 +0000 2020",1256087225676136448,0,"Tirupati, India"
"97","Fri May 01 05:05:16 +0000 2020",1256087267606593536,0,"Kharagpur, India"
"98","Fri May 01 05:05:36 +0000 2020",1256087351803011072,0,"Bengaluru South, India"
"99","Fri May 01 05:05:46 +0000 2020",1256087393792258048,0,"Bengaluru South, India"
"100","Fri May 01 05:05:52 +0000 2020",1256087421319446528,1,"Mumbai, India"
"101","Fri May 01 05:05:56 +0000 2020",1256087438491103232,0.233333333333333,"Bhubaneshwar, India"
"102","Fri May 01 05:06:04 +0000 2020",1256087471072382976,0,"New Delhi, India"
"103","Fri May 01 05:06:26 +0000 2020",1256087562747146240,0.214285714285714,"Pollachi, India"
"104","Fri May 01 05:06:52 +0000 2020",1256087672638103552,-0.2,"Gurgaon, India"
"105","Fri May 01 05:07:04 +0000 2020",1256087723372244992,0.125,"Mylapore Tiruvallike, India"
"106","Fri May 01 05:07:18 +0000 2020",1256087780561547264,1,"Gopeshwar, India"
"107","Fri May 01 05:07:36 +0000 2020",1256087856667336704,0.075,"Basti, India"
"108","Fri May 01 05:07:38 +0000 2020",1256087863399079936,0,"Haora, India"
"109","Fri May 01 05:07:45 +0000 2020",1256087892746571776,-0.0357142857142857,"Rajendra Nagar, India"
"110","Fri May 01 05:08:20 +0000 2020",1256088039341862912,-0.2125,"Haora, India"
"111","Fri May 01 05:08:20 +0000 2020",1256088042432892928,0.25,"Faridabad, India"
"112","Fri May 01 05:08:35 +0000 2020",1256088104470933504,-0.075,"Faridabad, India"
"113","Fri May 01 05:08:42 +0000 2020",1256088132795187200,-0.4,"Daskroi, India"
"114","Fri May 01 05:08:43 +0000 2020",1256088136779616256,0.217857142857143,"New Delhi, India"
"115","Fri May 01 05:09:02 +0000 2020",1256088215930445824,0,"Mumbai, India"
"116","Fri May 01 05:09:56 +0000 2020",1256088443345461248,0.551785714285714,"Ghaziabad, India"
"117","Fri May 01 05:10:10 +0000 2020",1256088501554229248,0.075,"Daskroi, India"
"118","Fri May 01 05:10:50 +0000 2020",1256088669301211136,0,"Punjab, India"
"119","Fri May 01 05:11:16 +0000 2020",1256088778382495744,0.2,"Bramhaputra River"
"120","Fri May 01 05:11:17 +0000 2020",1256088783587553280,0.1,"Tamil Nadu, India"
"121","Fri May 01 05:11:58 +0000 2020",1256088953289138176,-0.238888888888889,"Mumbai, India"
"122","Fri May 01 05:12:09 +0000 2020",1256088999141076992,0.5,"New Delhi, India"
"123","Fri May 01 05:12:21 +0000 2020",1256089049753772032,-0.666666666666667,"Urapakkam, India"
"124","Fri May 01 05:12:58 +0000 2020",1256089204439650304,0,"Gwalior, India"
"125","Fri May 01 05:13:01 +0000 2020",1256089220021735424,0,"Kolathur"
"126","Fri May 01 05:13:01 +0000 2020",1256089220231249920,0,"Mumbai, India"
"127","Fri May 01 05:13:10 +0000 2020",1256089254981251072,0,"Uttar Pradesh, India"
"128","Fri May 01 05:13:16 +0000 2020",1256089282688647168,0.0625,"New Delhi, India"
"129","Fri May 01 05:13:19 +0000 2020",1256089296257216512,0,"Daskroi, India"
"130","Fri May 01 05:14:07 +0000 2020",1256089495704756224,0.3,"Bengaluru South, India"
"131","Fri May 01 05:14:12 +0000 2020",1256089515522797568,0.183333333333333,"Mangalore, India"
"132","Fri May 01 05:14:18 +0000 2020",1256089541842071552,0.613636363636364,"Assam, India"
"133","Fri May 01 05:14:18 +0000 2020",1256089542756634624,0,"Maharashtra, India"
"134","Fri May 01 05:14:51 +0000 2020",1256089680719876096,0.7,"Jodhpur, India"
"135","Fri May 01 05:14:59 +0000 2020",1256089713485639680,0,"Rajendra Nagar, India"
"136","Fri May 01 05:15:24 +0000 2020",1256089820914319360,0.6,"Bengaluru South, India"
"137","Fri May 01 05:15:47 +0000 2020",1256089913356726272,0.4375,"Ghaziabad, India"
"138","Fri May 01 05:15:49 +0000 2020",1256089924127780864,0.5,"Naranpura Cross Roads"
"139","Fri May 01 05:16:05 +0000 2020",1256089990464856064,0,"New Delhi, India"
"140","Fri May 01 05:17:26 +0000 2020",1256090332162392064,0.00892857142857142,"Mumbai, India"
"141","Fri May 01 05:17:35 +0000 2020",1256090369248251904,-0.603333333333333,"New Delhi, India"
"142","Fri May 01 05:17:40 +0000 2020",1256090387686363136,0,"New Delhi, India"
"143","Fri May 01 05:17:55 +0000 2020",1256090452090064896,-0.175,"Noida, India"
"144","Fri May 01 05:18:18 +0000 2020",1256090549930479616,-0.25,"Mumbai, India"
"145","Fri May 01 05:18:34 +0000 2020",1256090617647558656,0,"Rajendra Nagar, India"
"146","Fri May 01 05:18:54 +0000 2020",1256090697834225664,0,"New Delhi, India"
"147","Fri May 01 05:19:07 +0000 2020",1256090755686264832,0.204444444444444,"Daskroi, India"
"148","Fri May 01 05:19:17 +0000 2020",1256090795775385600,0.533333333333333,"Hyderabad, India"
"149","Fri May 01 05:19:19 +0000 2020",1256090806093570048,0,"Bareilly, India"
"150","Fri May 01 05:19:32 +0000 2020",1256090860199899136,0,"Mumbai, India"
"151","Fri May 01 05:19:58 +0000 2020",1256090968018702336,-0.291666666666667,"New Delhi, India"
"152","Fri May 01 05:20:26 +0000 2020",1256091087661199360,0,"New Delhi, India"
"153","Fri May 01 05:20:48 +0000 2020",1256091177457053696,0,"Trivandrum, India"
"154","Fri May 01 05:20:52 +0000 2020",1256091193055854592,-0.261363636363636,"Patna, India"
"155","Fri May 01 05:20:57 +0000 2020",1256091213809225728,-0.2,"Akaltara, India"
"156","Fri May 01 05:21:12 +0000 2020",1256091279840047104,0,"New Delhi, India"
"157","Fri May 01 05:21:35 +0000 2020",1256091375801561088,-0.4,"New Delhi, India"
"158","Fri May 01 05:21:42 +0000 2020",1256091404897566720,0,"Mumbai, India"
"159","Fri May 01 05:21:49 +0000 2020",1256091435591442432,0,"Bengaluru, India"
"160","Fri May 01 05:21:54 +0000 2020",1256091454855733248,0,"Bengaluru South, India"
"161","Fri May 01 05:22:17 +0000 2020",1256091550573944832,0,"Baleshwar, India"
"162","Fri May 01 05:22:40 +0000 2020",1256091646023725056,0.3125,"Egmore Nungambakkam, India"
"163","Fri May 01 05:22:43 +0000 2020",1256091659676385280,0,"Orissa, India"
"164","Fri May 01 05:22:54 +0000 2020",1256091706396737536,0,"Habra, India"
"165","Fri May 01 05:23:00 +0000 2020",1256091731105202176,0,"Bengaluru South, India"
"166","Fri May 01 05:23:02 +0000 2020",1256091741003722752,0,"Gurgaon, India"
"167","Fri May 01 05:23:07 +0000 2020",1256091761039953920,0.75,"Rajendra Nagar, India"
"168","Fri May 01 05:23:33 +0000 2020",1256091869739544576,0,"Medchal, India"
"169","Fri May 01 05:23:46 +0000 2020",1256091924810747904,0,"Tezpur, India"
"170","Fri May 01 05:23:46 +0000 2020",1256091926157131776,0,"New Delhi, India"
"171","Fri May 01 05:23:57 +0000 2020",1256091972160217088,0.025,"Tamil Nadu, India"
"172","Fri May 01 05:24:13 +0000 2020",1256092036119146496,0.6,"Mumbai, India"
"173","Fri May 01 05:24:30 +0000 2020",1256092110219907072,0.266666666666667,"Vododara, India"
"174","Fri May 01 05:25:01 +0000 2020",1256092238087483392,0.28,"Noida, India"
"175","Fri May 01 05:25:02 +0000 2020",1256092243238236160,0,"New Delhi, India"
"176","Fri May 01 05:25:02 +0000 2020",1256092243766546432,0.25,"Patna, India"
"177","Fri May 01 05:25:15 +0000 2020",1256092296887431168,0.463636363636364,"Bihar Sharif, India"
"178","Fri May 01 05:25:41 +0000 2020",1256092405641564160,0.166666666666667,"Bihar Sharif, India"
"179","Fri May 01 05:25:43 +0000 2020",1256092415812947968,0.7,"Saidapet, India"
"180","Fri May 01 05:25:43 +0000 2020",1256092416320430080,0.170555555555556,"Assam, India"
"181","Fri May 01 05:25:44 +0000 2020",1256092418757275648,0.406666666666667,"Assam, India"
"182","Fri May 01 05:25:44 +0000 2020",1256092421303255040,0.1875,"Assam, India"
"183","Fri May 01 05:26:05 +0000 2020",1256092509161222144,-0.00568181818181818,"Silchar, India"
"184","Fri May 01 05:26:21 +0000 2020",1256092574072238080,0.0166666666666667,"Jodhpur, India"
"185","Fri May 01 05:26:52 +0000 2020",1256092703449743360,0.0590909090909091,"Patna, India"
"186","Fri May 01 05:27:28 +0000 2020",1256092857049296896,-0.45,"Raipur, India"
"187","Fri May 01 05:27:29 +0000 2020",1256092860446695424,0.375,"Lakhimpur"
"188","Fri May 01 05:27:49 +0000 2020",1256092941858140160,0,"Noida, India"
"189","Fri May 01 05:28:01 +0000 2020",1256092993326546944,0.25,"Patna, India"
"190","Fri May 01 05:28:18 +0000 2020",1256093066076786688,0,"Orissa, India"
"191","Fri May 01 05:28:23 +0000 2020",1256093084338712576,0,"Orissa, India"
"192","Fri May 01 05:28:29 +0000 2020",1256093109823422464,-0.25,"Ministry Of External Affairs"
"193","Fri May 01 05:28:29 +0000 2020",1256093112599896064,-0.75,"New Delhi, India"
"194","Fri May 01 05:28:35 +0000 2020",1256093136662573056,-0.4,"Ambala, India"
"195","Fri May 01 05:28:37 +0000 2020",1256093144082341888,0,"Bengaluru, India"
"196","Fri May 01 05:28:43 +0000 2020",1256093169277526016,0.3125,"Bengaluru South, India"
"197","Fri May 01 05:28:47 +0000 2020",1256093187933782016,0.125,"Kottakkal Arya Vaidya Sala"
"198","Fri May 01 05:30:02 +0000 2020",1256093502594617344,0,"Noida, India"
"199","Fri May 01 05:30:03 +0000 2020",1256093505866391552,0.3,"Basti, India"
"200","Fri May 01 05:30:17 +0000 2020",1256093564402044928,-0.1,"Bhubaneshwar, India"
"201","Fri May 01 05:30:38 +0000 2020",1256093653417840640,0.6,"Ningthoukhong, India"
"202","Fri May 01 05:30:50 +0000 2020",1256093701408948224,-0.5,"New Delhi, India"
"203","Fri May 01 05:31:02 +0000 2020",1256093752675962880,0.4,"Karimnagar, India"
"204","Fri May 01 05:31:11 +0000 2020",1256093789392736256,0.425,"Survey of India HMR Station"
"205","Fri May 01 05:53:38 +0000 2020",1256099442538643456,0.277777777777778,"Rajendra Nagar, India"
"206","Fri May 01 05:53:50 +0000 2020",1256099491867852800,0.0625,"Hyderabad, India"
"207","Fri May 01 05:54:11 +0000 2020",1256099577381281792,0.466666666666667,"Madurai North, India"
"208","Fri May 01 05:54:39 +0000 2020",1256099696860422144,0,"Meerut, India"
"209","Fri May 01 05:54:42 +0000 2020",1256099708574949376,0.136111111111111,"Bengaluru South, India"
"210","Fri May 01 05:54:56 +0000 2020",1256099766926143488,0,"Uttar Pradesh, India"
"211","Fri May 01 05:54:58 +0000 2020",1256099775549767680,-0.439285714285714,"Mumbai, India"
"212","Fri May 01 05:55:08 +0000 2020",1256099817908035584,-0.0777777777777778,"Sheopur, India"
"213","Fri May 01 05:55:29 +0000 2020",1256099906634293248,-0.166666666666667,"Mumbai, India"
"214","Fri May 01 05:55:32 +0000 2020",1256099918382608384,0.5,"Silchar, India"
"215","Fri May 01 05:55:44 +0000 2020",1256099967015534592,0,"Uttar Pradesh, India"
"216","Fri May 01 05:55:44 +0000 2020",1256099970081419264,0.05,"Jodhpur, India"
"217","Fri May 01 05:55:52 +0000 2020",1256100002226556928,-0.333333333333333,"Vododara, India"
"218","Fri May 01 05:56:12 +0000 2020",1256100088608243712,-0.0777777777777778,"Mainpuri, India"
"219","Fri May 01 05:56:36 +0000 2020",1256100185173749760,0.4,"New Delhi, India"
"220","Fri May 01 05:56:36 +0000 2020",1256100187254095872,0.317857142857143,"Kolkata, India"
"221","Fri May 01 05:56:37 +0000 2020",1256100191033319424,0.2,"Bihar, India"
"222","Fri May 01 05:56:39 +0000 2020",1256100201548222464,0,"Mumbai, India"
"223","Fri May 01 05:56:40 +0000 2020",1256100205788712960,1.85037170770859e-17,"Mumbai, India"
"224","Fri May 01 05:56:43 +0000 2020",1256100218212216832,0.175,"New Delhi, India"
"225","Fri May 01 05:56:54 +0000 2020",1256100263116455936,0,"Bengaluru South, India"
"226","Fri May 01 05:56:58 +0000 2020",1256100281567318016,0.2,"Bisauli, India"
